"Hispanic","White","Black","Native","Asian_Pacific"
0.00315,0.00418,0.00124,0,0.00124
0.00192,0.00701,0.00017,1e-05,0.00082
0.00394,0.00485,6e-04,0,0.00032
0.00702,0.00214,0.00019,0,1e-04
0.00094,0.00848,0.00021,2e-05,0
0.00208,0.00758,1e-04,2e-05,0.00017
0.00967,0.00029,4e-05,0,0
0.00029,0.0093,0,2e-05,0
0.0023,0.00529,0.0017,0,0.00047
0.00147,0.00514,0.00254,0,0.00038
0.00068,0.00585,0.00199,0,0.00094
0.00156,0.00778,0.00062,0,0
0.00015,0.00928,0.00034,0,0
8e-04,0.0024,0.00629,3e-05,0.00032
0.00035,0.00347,0.00567,0,0
0.00022,0.00838,0.00088,0.00016,7e-05
4e-05,0.00971,0.00015,4e-05,1e-05
0,0.00997,2e-05,0,0
